symbol,price,sma_120,sma_22,atr_pct,dollar_vol_m
QCOM,174.72,164.88,173.57,2.19,40.06
GM,82.85,62.84,77.93,1.77,39.44
STX,285.35,215.13,279.89,5.26,39.25
ABBV,230.1,216.13,226.43,1.74,38.91
MDB,435.51,310.06,399.17,2.69,38.68
CEG,363.96,343.64,359.75,4.6,38.38
B,45.44,31.34,42.33,3.09,37.77
SHOP,169.43,148.57,162.08,3.65,37.48
ARES,169.0,167.88,165.86,3.0,37.42
CCL,31.24,28.97,27.45,3.53,35.47
RKLB,77.11,51.22,54.96,7.4,34.42
HPE,24.46,22.85,23.4,3.64,33.66
COF,248.28,220.02,232.63,1.72,33.63
MS,181.52,156.96,174.64,1.77,33.48
LULU,210.38,188.34,193.65,4.15,33.36
PM,162.76,161.03,154.9,1.82,32.8
CIEN,240.03,147.16,213.05,5.16,32.62
ISRG,577.73,502.77,566.17,1.83,32.42
RIVN,21.14,14.5,18.2,6.4,31.74
SLB,37.98,35.44,37.85,2.54,31.6
AXP,382.99,337.18,372.05,1.84,31.39
RTX,186.36,164.46,176.02,1.89,30.85
DHR,231.34,208.99,227.21,1.72,29.97
NEM,104.78,80.0,95.19,3.3,29.91
AMGN,333.89,303.05,330.39,1.89,29.73
CFLT,30.15,22.39,26.92,2.07,29.68
LUV,41.46,33.57,38.5,3.14,29.35
DAL,70.95,59.77,67.92,2.36,28.75
TGT,96.44,94.94,93.64,2.44,28.03
NXPI,225.16,219.35,219.5,2.4,27.31
CVS,79.11,73.69,78.26,2.15,27.31
REGN,784.04,619.7,749.74,2.21,27.03
GILD,125.68,117.59,123.14,2.18,27.01
SATS,106.98,62.97,90.86,6.27,26.74
VALE,13.16,11.15,12.85,2.33,26.37
PH,887.71,776.77,872.52,1.58,26.21
ABNB,136.8,126.32,126.25,2.28,26.14
ON,55.06,51.78,53.7,2.74,26.12
VRTX,462.94,422.31,446.48,1.82,25.97
MCHP,65.4,64.47,62.49,2.98,25.51
ASTS,78.07,59.82,68.97,10.3,25.47
F,13.34,12.19,13.29,1.88,25.11
DG,135.41,109.58,124.48,3.08,24.33
APO,148.84,136.71,141.08,2.35,24.0
ULTA,608.32,530.34,575.26,3.13,23.7
GLW,89.68,76.08,87.05,3.65,23.59
MPWR,952.32,889.87,944.67,3.16,23.44
AZN,92.48,81.7,91.19,1.52,23.2
AAL,15.67,12.87,14.87,3.21,23.08
EXPE,286.55,223.53,271.48,2.39,23.0
FSLR,272.47,222.2,262.94,4.53,22.96
RKT,19.46,17.72,19.13,3.39,22.91
QBTS,27.48,23.85,25.75,10.03,22.79
IQV,225.99,200.03,225.13,1.78,22.73
HBAN,17.74,16.7,17.17,1.73,22.14
UAL,114.84,98.74,107.11,2.61,21.8
TEVA,31.72,20.89,28.79,2.08,21.54
AIG,86.52,79.64,80.8,2.26,21.42
MSCI,581.9,561.72,555.68,1.61,21.11
LMT,485.87,465.51,465.06,1.99,20.98
ELV,343.64,322.47,340.65,2.48,20.92
JCI,121.36,110.66,116.62,1.94,20.84
FN,482.16,382.44,467.06,4.97,20.8
FITB,48.21,43.8,46.06,1.75,20.79
INFY,18.68,17.18,18.06,6.63,20.78
TER,198.69,140.14,191.61,3.25,20.51
CMI,517.79,425.59,507.25,2.27,20.35
DLTR,121.98,106.67,119.54,3.6,20.29
TEL,232.07,216.79,230.44,2.3,20.06
HLT,293.03,270.67,282.27,1.66,19.87
MAR,315.26,275.83,302.33,1.85,19.75
FLEX,63.57,57.52,63.18,4.77,19.64
MNST,77.46,66.82,74.84,1.7,19.26
CME,276.27,271.58,273.72,1.59,19.23
UPS,100.68,91.42,98.12,1.59,19.03
NOC,582.68,576.01,563.38,1.73,18.67
HAL,28.04,24.23,27.59,2.69,18.11
KEY,21.14,18.5,19.79,1.83,18.03
OMC,79.93,75.87,76.28,2.62,17.94
CFG,59.8,51.67,56.83,1.75,17.68
FDX,295.81,245.4,280.34,1.88,17.65
NCLH,23.17,22.76,20.22,3.69,17.4
PCG,15.82,15.3,15.51,1.87,17.05
CDE,18.73,14.89,16.83,5.98,16.89
HL,19.82,11.58,17.86,5.98,16.61
JBL,234.54,214.75,219.42,4.08,16.59
BURL,287.96,271.79,265.87,3.0,16.51
HWM,212.1,190.47,198.88,2.52,16.49
NDAQ,98.67,91.09,92.22,1.53,15.99
EL,107.52,92.81,102.33,2.73,15.86
BK,118.15,106.43,114.44,1.61,15.83
RF,27.72,25.74,26.69,1.66,15.77
MRNA,32.73,27.36,28.46,5.05,15.76
GWW,1030.54,984.05,989.18,1.65,15.7
ICLR,183.58,173.19,181.83,2.83,15.58
CTSH,85.39,72.97,81.38,1.67,15.39
PAAS,53.79,36.74,47.42,4.23,15.36
ODFL,159.37,147.2,150.78,2.61,15.36
PATH,17.14,13.62,16.25,5.1,15.11
U,45.43,39.16,45.25,5.07,14.93
LPLA,373.38,357.23,365.98,2.49,14.87
MCO,517.04,495.13,492.88,1.6,14.66
TWLO,140.32,117.41,132.91,2.8,14.54
AA,53.63,35.59,45.52,3.33,14.43
ONDS,9.12,6.13,8.54,10.32,14.41
BDX,196.14,188.21,194.86,1.78,14.33
KMI,27.19,27.15,26.96,1.62,14.24
AFRM,76.0,74.16,70.71,4.52,14.19
CRS,334.04,276.78,318.28,3.06,14.13
CNC,39.88,33.4,39.15,3.09,14.03
YUM,154.32,147.45,150.43,1.64,14.03
AEM,181.23,153.14,170.57,2.9,14.02
AG,17.2,11.5,15.56,5.63,13.73
CCJ,93.38,83.88,90.08,4.04,13.72
CHRW,165.1,132.66,159.48,2.05,13.62
CWAN,24.18,19.96,21.99,2.88,13.61
AEO,26.66,16.61,24.13,4.09,13.31
ALL,209.33,203.29,207.84,1.63,13.29
FIVE,188.6,151.45,174.24,2.54,13.27
PNC,213.54,194.88,202.75,1.51,13.18
ALB,148.28,94.65,132.13,3.71,13.11
ROKU,110.71,96.72,103.07,3.94,12.98
MLM,641.02,609.88,623.98,1.85,12.91
JBHT,198.32,156.64,189.5,1.92,12.87
NTRA,235.49,182.55,234.6,2.35,12.81
WTW,334.34,326.05,324.35,1.52,12.8
HUBB,455.98,434.52,439.46,2.24,12.5
TECK,46.55,39.52,44.07,3.02,12.48
TPR,130.29,109.47,118.46,2.31,12.39
PCAR,111.51,100.3,109.43,1.78,12.35
TSEM,122.49,75.0,115.41,4.8,12.31
AMP,501.18,491.9,478.34,1.54,12.24
ASND,212.84,196.81,207.3,4.29,12.16
FOXA,73.88,61.4,69.37,1.8,12.14
TRGP,183.77,166.76,179.03,2.27,12.12
LHX,298.2,281.6,282.85,1.98,12.11
COO,82.56,72.51,79.94,2.99,11.95
EMR,136.65,134.38,134.38,1.87,11.92
CART,45.62,43.31,44.0,3.2,11.85
HUT,52.82,34.78,43.0,9.01,11.66
GD,345.21,328.85,339.25,1.53,11.53
ROIV,22.49,16.03,21.38,3.57,11.39
HSY,184.78,182.49,184.64,1.93,11.35
KGC,29.29,22.64,27.77,3.36,11.29
SAIA,329.64,301.48,320.44,3.09,11.26
TERN,42.44,14.23,36.56,8.59,11.22
RIO,80.92,66.72,75.19,1.57,10.93
IBKR,65.94,65.16,64.49,2.46,10.87
ABVX,145.4,86.0,122.27,6.33,10.67
GEHC,83.38,76.04,82.52,2.06,10.51
TKO,217.75,188.09,202.6,2.44,10.5
EW,86.34,80.0,85.13,1.7,10.36
MET,81.1,78.85,79.31,1.57,10.29
FOLD,14.26,8.36,10.88,3.59,10.26
ITT,178.29,173.84,177.45,2.38,10.21
KEYS,205.46,175.51,203.41,1.93,10.07
ALGN,158.0,148.21,156.49,2.24,10.06
WWD,314.32,260.73,297.46,2.25,10.06
ATI,116.64,88.45,105.21,2.64,10.02
VMC,293.74,289.38,293.02,1.85,10.02
BIDU,123.32,111.82,121.72,3.19,9.77
MTZ,223.38,196.56,217.87,3.36,9.73
NTR,63.54,58.4,60.45,2.44,9.71
ANF,126.84,89.15,106.06,3.8,9.67
SN,113.02,106.21,107.84,2.57,9.55
IR,81.53,80.26,80.03,2.07,9.53
NGD,9.1,6.44,8.18,5.71,9.23
NUE,165.48,145.57,161.15,2.08,9.17
TOL,139.52,133.52,138.76,2.59,9.13
UL,65.98,61.31,62.42,2.51,9.08
STLD,175.36,144.53,169.82,2.07,9.04
ILMN,135.33,107.76,131.56,2.69,8.96
INCY,100.42,88.18,100.17,3.16,8.92
RVMD,81.14,51.94,77.97,3.07,8.9
STT,132.3,115.38,124.59,1.93,8.89
KNX,53.58,44.79,50.62,2.38,8.78
BHP,60.86,54.99,58.18,1.64,8.7
UTHR,514.77,401.35,492.94,1.86,8.69
PL,20.3,10.89,15.15,7.45,8.67
IVZ,27.19,22.66,25.81,2.52,8.65
CASY,568.42,536.57,558.34,2.25,8.63
ZM,87.78,81.02,87.06,2.37,8.62
WST,277.66,258.98,273.8,2.15,8.47
AU,89.89,66.97,84.8,3.49,8.46
FHN,24.51,22.21,23.28,1.61,8.41
WVE,18.26,8.93,13.39,13.39,8.38
VSCO,54.28,30.67,48.85,5.14,8.37
FCNCA,2182.11,1914.6,2015.7,1.68,8.33
PEN,316.15,263.06,302.94,2.49,8.33
CBRE,164.86,156.16,160.46,1.72,8.29
SYF,86.02,74.27,81.5,1.89,8.2
PKG,207.57,204.79,201.7,1.69,8.14
EAT,151.06,142.26,146.07,3.79,8.13
MGM,37.1,35.19,36.08,2.48,8.05
SITM,378.36,271.3,345.18,4.31,8.04
TSN,58.26,54.88,57.85,1.9,8.04
H,165.5,147.89,161.62,2.18,8.01
PLNT,109.95,104.4,109.86,2.19,7.99
BMRN,60.17,55.65,55.0,3.38,7.99
ARWR,70.16,35.03,63.44,5.4,7.93
JAZZ,170.87,136.42,169.65,2.31,7.92
DOV,199.64,180.0,193.09,1.61,7.91
VTR,79.61,71.35,79.42,1.71,7.91
CCK,102.72,98.46,98.96,1.92,7.89
HII,355.68,287.75,322.96,2.66,7.86
WPM,121.86,102.22,112.46,3.06,7.78
HALO,68.42,67.24,66.33,2.34,7.78
AKAM,88.83,79.4,87.59,2.21,7.78
EQX,14.61,10.3,13.99,4.43,7.72
PRAX,274.48,113.94,239.3,6.66,7.68
CADE,43.82,37.77,42.15,1.7,7.62
RGLD,232.99,184.63,211.28,2.5,7.46
FTAI,173.31,156.77,171.92,2.55,7.42
WRBY,26.29,23.59,23.44,7.7,7.42
EPAM,209.22,169.68,201.86,2.49,7.33
MDGL,603.58,441.85,577.05,3.02,7.32
URBN,78.16,71.99,77.67,2.94,7.31
HST,18.52,16.91,17.93,2.07,7.31
MKSI,163.52,127.12,159.22,3.28,7.29
RJF,165.9,163.8,161.22,1.53,7.27
MKC,68.83,67.98,66.59,1.64,7.23
HEI,337.67,316.55,315.37,2.26,7.19
AXTA,32.3,29.59,30.48,2.3,7.18
BROS,64.04,59.7,60.64,3.12,7.08
RRX,145.54,144.74,145.12,2.97,7.06
IONS,80.58,62.14,80.32,2.32,7.05
ELAN,22.37,19.3,22.17,2.75,7.03
BWXT,176.96,175.28,176.29,3.0,7.0
JKHY,185.14,165.19,181.19,1.6,6.91
RPRX,39.26,37.14,39.05,1.79,6.9
NXT,91.25,77.67,89.14,4.78,6.81
CLF,13.74,11.61,12.89,3.63,6.8
VIK,72.92,61.59,68.93,2.34,6.79
IAG,17.33,11.38,15.71,4.04,6.75
ALLY,46.28,40.47,43.47,2.21,6.74
COMP,10.67,8.62,10.58,3.76,6.71
EVR,351.22,317.64,332.77,2.49,6.62
NLY,23.22,21.27,22.61,1.5,6.59
CG,60.93,59.79,57.16,2.84,6.59
TRU,86.75,86.32,84.57,2.36,6.51
AN,211.96,209.43,211.68,2.3,6.5
TCOM,72.2,69.36,71.01,1.76,6.47
CRL,203.32,169.53,188.86,2.29,6.4
ROL,60.66,57.77,60.37,1.84,6.38
MIDD,150.69,134.12,134.34,2.72,6.35
CX,11.85,9.44,11.12,2.34,6.33
JLL,346.72,299.53,331.07,2.14,6.3
BALL,52.29,51.36,50.03,1.93,6.3
FNV,215.69,191.78,207.92,2.27,6.29
BWA,45.41,41.98,43.89,2.14,6.29
KYMR,83.22,55.94,77.85,7.64,6.28
CW,568.72,525.57,551.75,2.56,6.24
GPCR,69.62,29.45,52.86,12.31,6.22
PRIM,129.36,119.97,127.62,4.53,6.13
SMTC,75.54,62.83,74.51,3.93,6.12
AMG,292.11,238.93,274.48,1.92,6.09
CYTK,64.19,51.93,64.07,4.38,6.04
GFI,46.02,36.54,43.31,4.09,5.96
EXK,9.79,7.18,9.08,6.01,5.95
RYTM,112.28,100.23,108.75,4.11,5.94
ALK,51.36,50.94,48.38,3.45,5.9
AS,37.82,35.87,37.66,2.77,5.89
CWST,100.85,96.09,97.85,2.37,5.88
WAB,219.58,200.51,212.86,1.8,5.87
RGEN,165.85,138.6,163.99,2.39,5.82
LSCC,76.59,66.23,74.32,3.51,5.82
FROG,66.81,50.85,64.8,3.78,5.81
KTOS,80.0,73.79,75.72,4.65,5.8
AAOI,41.0,27.45,29.87,8.34,5.75
IFF,66.9,66.38,66.44,2.15,5.71
AGI,40.3,31.62,37.31,3.24,5.7
HSBC,79.55,68.16,73.76,1.5,5.68
MKTX,182.66,181.93,172.1,1.72,5.68
BCS,25.62,20.91,23.69,1.55,5.64
ZETA,19.1,18.35,18.38,3.89,5.59
SCCO,148.2,117.89,140.17,2.41,5.53
NOK,6.58,5.33,6.25,2.0,5.52
NYT,71.0,59.28,66.91,1.56,5.51
BTG,4.73,4.31,4.56,3.89,5.5
PI,177.71,169.64,163.59,3.79,5.49
TROW,104.74,104.31,103.74,1.74,5.45
UNM,79.08,75.41,76.26,1.88,5.42
SNX,153.72,150.72,153.12,1.85,5.39
ONTO,161.89,124.14,153.86,3.52,5.38
TFX,122.09,121.21,121.47,3.22,5.36
NDSN,244.11,227.37,237.59,1.79,5.36
EIX,60.1,55.64,58.56,1.79,5.34
AES,13.96,13.6,13.84,2.2,5.31
BBIO,76.56,57.06,73.81,2.77,5.27
AYI,372.15,340.44,366.08,2.05,5.26
IEX,180.16,169.2,176.79,1.52,5.23
ALC,80.12,79.97,79.3,1.51,5.19
COLB,28.6,26.21,28.51,1.73,5.17
UUUU,15.09,14.01,14.79,6.95,5.16
COGT,39.76,19.8,39.61,4.94,5.14
GKOS,116.72,92.68,109.59,2.27,5.04
INDV,36.16,25.73,35.0,2.59,5.02
BILL,55.16,48.76,53.18,2.58,5.01
GIL,63.1,56.5,59.76,2.38,4.96
RGA,206.22,191.82,197.34,1.69,4.95
DTM,120.66,109.5,119.54,1.69,4.95
TTMI,72.67,55.84,70.79,5.33,4.93
SWK,74.88,71.81,72.82,2.6,4.92
PTCT,78.3,62.34,77.89,2.56,4.89
CROX,90.62,86.81,87.81,2.65,4.89
UBS,47.18,39.56,41.89,1.9,4.87
HBM,19.87,14.1,17.96,3.13,4.85
AVY,181.82,171.97,177.55,1.57,4.73
BUD,63.83,62.21,62.78,1.54,4.71
BRKR,48.12,38.55,47.04,3.37,4.68
NTRS,140.77,129.69,135.41,1.5,4.68
RS,295.29,289.3,287.59,1.64,4.67
CMA,88.6,73.83,85.13,1.61,4.67
EXEL,46.51,40.52,43.26,2.59,4.66
RYAAY,73.48,62.82,68.91,1.77,4.65
ALSN,100.69,87.68,94.84,2.26,4.63
VERA,55.7,28.76,43.77,4.8,4.62
BEN,24.17,23.8,23.29,1.9,4.61
LMND,79.84,58.02,78.01,6.49,4.61
HAS,81.64,77.85,81.63,1.98,4.6
TPG,65.14,59.03,62.91,2.63,4.47
MGA,53.74,46.41,51.14,1.68,4.45
LAD,346.16,318.62,333.45,2.21,4.45
ASX,15.53,12.29,15.27,2.56,4.43
MUSA,410.1,388.24,395.5,2.28,4.4
LEA,116.64,105.1,111.67,1.88,4.39
DBRG,13.62,11.52,12.38,8.17,4.38
WFRD,78.07,66.0,77.36,2.68,4.35
HSIC,76.2,69.43,75.28,1.54,4.32
HMY,21.56,16.85,19.88,3.88,4.29
VTRS,12.24,10.22,11.3,2.55,4.24
DB,39.51,35.16,36.97,1.7,4.23
WAL,86.82,82.89,84.73,2.29,4.22
AIT,264.19,259.56,259.28,1.65,4.21
JHG,47.63,43.71,44.97,1.6,4.2
KRYS,250.73,179.05,232.57,2.76,4.19
PFG,89.55,82.0,87.72,1.7,4.13
CAPR,29.7,9.58,21.53,6.49,4.13
SF,128.72,116.01,125.5,1.94,4.11
TTC,79.02,75.21,73.46,2.51,4.11
BRZE,35.82,28.81,32.07,4.8,4.1
LUNR,16.7,10.7,11.64,8.0,4.06
FNB,17.6,16.11,17.18,1.51,4.04
MUFG,15.95,15.15,15.86,2.03,4.04
LECO,245.31,235.93,242.12,1.73,4.02
TXT,90.72,82.38,85.68,1.58,3.99
ERJ,64.49,55.43,60.99,2.72,3.97
JEF,63.86,59.13,60.04,2.55,3.95
SBSW,15.12,10.37,13.28,3.84,3.95
APG,39.37,35.91,39.04,2.27,3.93
RUN,20.14,16.39,18.44,5.22,3.92
RBC,458.58,405.56,447.83,1.82,3.91
BTU,30.78,23.71,28.65,4.33,3.9
VIAV,18.26,13.54,17.98,3.98,3.87
PNFP,101.28,95.06,97.15,1.56,3.86
YETI,45.16,36.56,43.25,2.53,3.86
HRI,156.17,132.19,146.26,2.98,3.77
G,48.06,43.41,46.35,1.54,3.77
BAP,289.76,255.93,272.97,1.99,3.75
ONB,23.08,21.79,22.54,1.76,3.74
UMC,7.98,7.31,7.84,1.65,3.73
VLY,11.91,10.54,11.67,1.8,3.7
FRPT,64.18,58.86,61.64,2.84,3.68
CMC,70.78,58.8,67.42,2.13,3.67
JBLU,4.74,4.69,4.73,4.5,3.64
CELC,102.51,61.38,101.4,3.94,3.63
ZIM,21.06,15.8,19.76,4.45,3.61
FLS,71.36,59.11,71.15,2.02,3.58
OMF,69.04,59.65,65.72,2.02,3.58
SPR,39.52,38.81,36.37,2.39,3.58
IMAX,37.76,31.57,37.1,3.37,3.57
GLOB,68.0,67.5,67.05,3.38,3.57
CORT,83.66,75.93,83.0,3.84,3.57
THO,106.4,102.61,104.58,2.26,3.55
AXSM,153.89,125.73,149.2,2.26,3.54
HXL,76.42,66.04,75.09,2.23,3.49
ORLA,14.55,11.39,13.46,5.0,3.49
DCI,91.27,81.17,91.07,1.57,3.46
KRG,24.0,22.45,23.16,1.54,3.46
WBS,64.53,59.39,62.57,1.55,3.44
AEIS,217.71,177.16,214.4,2.89,3.43
FOX,64.94,55.4,61.56,1.53,3.43
DYN,20.36,15.24,20.18,6.92,3.42
NVMI,336.09,298.38,320.4,3.47,3.37
SQM,70.96,48.06,64.68,3.02,3.37
HLNE,138.67,138.11,128.68,2.22,3.36
WU,9.34,8.57,9.18,2.22,3.35
IRT,17.32,16.91,16.97,1.54,3.33
CTRE,36.96,34.41,36.94,1.66,3.32
VKTX,37.34,32.69,36.17,4.02,3.32
UNF,200.38,170.21,178.88,3.27,3.29
PCVX,47.64,38.88,46.24,3.19,3.25
ZION,59.54,54.93,56.86,1.84,3.24
GL,143.48,135.74,136.41,1.51,3.21
LNC,46.0,40.18,43.68,2.18,3.19
APGE,78.04,49.96,74.69,3.26,3.18
BC,75.95,64.77,71.84,1.96,3.18
R,197.56,179.9,185.22,2.31,3.17
BTSG,37.72,28.29,36.11,2.82,3.16
FSM,10.12,8.14,9.66,3.93,3.16
LNTH,66.7,59.48,62.66,3.01,3.13
UPWK,20.96,16.6,20.44,3.77,3.1
YUMC,49.06,45.53,47.72,1.54,3.1
NXE,9.46,8.11,8.99,4.67,3.09
SRRK,45.87,35.99,44.23,3.65,3.08
CUK,31.08,26.54,25.73,3.49,3.07
DNN,2.77,2.48,2.64,4.85,3.06
SRPT,22.3,19.43,21.32,4.78,3.05
ATAT,42.26,37.92,41.16,2.81,3.05
NVST,22.02,20.5,21.29,2.78,3.03
NXST,203.69,195.7,197.61,2.3,3.01
ASB,26.56,25.67,26.37,1.76,2.96
KVYO,32.39,29.96,29.9,3.76,2.96
OPCH,32.35,28.98,31.74,2.53,2.95
HTHT,48.61,38.94,47.56,1.86,2.94
CR,188.58,186.88,186.26,1.67,2.92
DOCN,49.06,37.81,46.85,3.99,2.91
KGS,36.7,34.5,36.09,2.31,2.9
LSTR,145.34,132.17,141.08,2.04,2.9
ADMA,19.54,16.91,19.48,3.15,2.89
MT,45.21,37.29,44.1,1.77,2.88
ALV,119.78,119.63,119.06,1.65,2.88
MIRM,80.7,67.89,70.89,4.14,2.83
TEX,54.68,50.65,50.37,2.47,2.83
ASH,59.35,52.48,57.63,2.23,2.81
TKR,86.06,78.18,84.01,1.91,2.8
GVA,118.59,105.07,111.36,1.89,2.78
EWBC,115.39,105.35,111.33,1.81,2.78
VOYA,75.54,73.25,72.66,1.75,2.78
LFUS,260.82,252.98,257.35,2.48,2.78
IMNM,22.32,13.66,20.01,7.25,2.76
EGO,36.87,26.63,33.01,3.5,2.73
MTG,29.75,27.6,28.79,1.51,2.69
NUVB,9.51,4.39,8.44,5.14,2.68
FMX,102.69,94.47,100.4,2.1,2.67
BYD,85.34,83.17,83.42,1.53,2.66
FIBK,35.88,31.84,34.45,1.68,2.64
AEG,7.68,7.56,7.68,2.12,2.63
OI,14.96,13.31,14.34,2.84,2.63
XMTR,63.51,50.01,59.39,4.79,2.61
YOU,36.25,33.72,36.15,4.69,2.61
GTX,17.43,14.29,16.84,2.15,2.6
APLS,25.16,23.52,23.41,4.22,2.59
REZI,35.65,34.43,34.47,3.2,2.57
TMC,7.62,6.51,7.01,8.12,2.53
TDC,30.57,23.64,30.14,2.48,2.53
ORA,114.4,99.84,112.09,2.29,2.52
PEGA,62.12,56.79,58.45,2.96,2.51
IMVT,26.87,19.12,24.67,4.84,2.51
TWO,11.09,9.99,10.39,2.49,2.51
SPHR,93.86,61.23,86.66,3.34,2.51
UMBF,119.0,114.35,116.02,1.62,2.5
FCN,175.85,165.23,169.29,1.8,2.5
HCC,89.27,66.0,82.34,3.08,2.49
CVCO,607.41,527.61,592.4,2.3,2.49
VRDN,32.27,22.69,32.02,2.91,2.48
TVTX,40.34,25.59,35.3,4.66,2.47
FR,58.43,53.0,57.63,1.53,2.42
MC,71.17,69.14,67.83,2.56,2.42
CRUS,121.57,117.42,121.51,2.18,2.42
SSRM,22.83,19.71,22.09,4.4,2.4
TLRY,10.15,2.36,7.75,15.37,2.39
MLI,118.14,99.67,112.79,1.69,2.39
BANC,19.68,16.78,19.25,1.86,2.36
GT,8.73,8.56,8.69,2.9,2.35
VMI,417.21,386.06,412.46,2.04,2.34
SVM,8.6,6.04,8.1,5.14,2.34
PPTA,26.57,20.89,26.16,7.12,2.33
MYRG,225.66,201.93,221.86,3.03,2.33
EDU,55.87,51.98,53.42,2.14,2.33
SHC,17.7,15.33,17.02,1.61,2.32
BEAM,28.11,22.65,26.38,4.72,2.29
RLI,65.21,65.04,63.86,1.85,2.28
AUB,36.56,34.16,35.41,1.93,2.27
BFH,76.75,63.48,72.8,1.67,2.27
XENE,45.02,38.61,43.96,2.67,2.21
POWL,336.68,297.18,331.71,4.08,2.21
ZTO,21.26,19.47,20.98,1.92,2.2
CENX,39.31,26.81,31.97,3.94,2.2
GMAB,33.7,27.87,31.9,2.11,2.19
DXC,15.08,13.88,14.45,2.69,2.19
ARRY,10.18,8.04,8.41,5.39,2.19
GXO,54.32,52.01,52.22,1.89,2.18
DAVE,228.51,213.29,206.77,3.78,2.18
MRCY,74.58,68.66,71.34,3.39,2.18
PLAB,33.67,23.4,29.32,6.94,2.15
AROC,25.78,24.44,25.11,2.46,2.14
ENS,149.74,115.73,145.94,2.27,2.13
NOVT,122.72,115.8,117.1,2.18,2.13
EWTX,27.31,17.0,23.69,7.9,2.12
HE,11.91,11.48,11.68,3.73,2.11
SLAB,135.35,133.37,134.38,3.01,2.11
TARS,82.6,62.0,80.66,2.94,2.1
DVAX,15.39,10.57,11.2,3.31,2.09
FULT,20.18,18.62,19.32,1.92,2.09
SYNA,73.99,69.0,73.92,3.01,2.08
NRIX,19.38,12.15,18.39,6.25,2.07
ST,33.64,31.74,33.43,2.71,2.07
BVN,29.56,21.8,26.6,3.35,2.06
TNDM,22.49,15.54,21.41,4.49,2.05
TCBI,93.61,86.5,93.11,1.74,2.05
IAC,39.78,35.96,37.38,1.79,2.05
ACAD,27.86,23.75,26.41,2.64,2.04
VSAT,35.06,29.9,34.8,5.49,2.04
CRNX,48.78,38.24,47.29,3.98,2.03
WES,39.51,38.88,39.24,1.53,2.02
UFPT,236.21,215.7,222.09,2.36,2.01
LAUR,33.83,28.52,31.9,2.43,2.01
FORM,58.19,40.95,56.28,3.09,2.01
HWC,65.36,60.92,63.88,1.57,2.0
